Name	Unique?	 Length	Minimized1 Length	Unrolled length	Lossless?	Mirrored in Patterns?	Inverted in Patterns?	Flipped in Patterns?
#065_-_Knitting_Patterns_Book_250_(Japanese)	True	1767	2980	1276	True	False	False	False
#2Worsted_ribbed_head_band_with_short_rows_CO_90	True	81	973	93	True	False	False	True
#XXIII,_modified_to_remove_purls	True	14	14	14	True	False	False	False
&#x27;peppermint&#x27;_repeat	True	24	28	24	True	True	False	False
&#x27;Winging_it&#x27;_Carry_Bag	True	78	372	78	True	False	False	False
&#x27;Winging_it&#x27;_Carry_Bag_(Hearts)	True	251	852	239	True	False	False	False
&quot;Leaf_Pattern,_very_pretty_&quot;	True	73	73	73	True	False	False	False
&quot;Leaf_Pattern,_very_pretty_&quot;_2	True	73	132	73	True	False	False	False
000	True	7	11	7	True	False	False	True
0216	False	17	17	17	True	False	False	False
1	True	65	100	65	True	False	False	False
10&quot;_Doily	True	352	1284	353	True	False	False	False
1000_Knitting_patterns_Chart_187	True	60	66	60	True	False	False	False
1000_Knitting_patterns_Chart_203	True	107	107	107	True	False	False	False
1000_Knitting_patterns_Chart_259	True	296	946	264	True	False	False	False
1000_Knitting_patterns_Chart_307	True	63	95	51	True	False	False	False
1000_Knitting_patterns_Chart_330	True	56	76	56	True	False	False	False
1000_Knitting_patterns_Chart_330_(variation)	True	102	122	102	True	False	False	False
1000_Knitting_patterns_Chart_330_(variation_2)	True	132	164	132	True	False	False	False
1000_Knitting_patterns_Chart_330_(variation_3)	True	248	264	248	True	False	False	False
1026_test_new	True	257	1019	243	True	False	False	False
102exp	True	15	15	15	True	False	False	False
111	True	14	14	10	True	False	False	False
111_2	False	14	14	10	True	False	False	False
111_3	False	14	14	10	True	False	False	False
111_4	True	13	13	9	True	False	False	False
121_Begins	True	223	920	215	True	False	False	False
121_scarf	True	247	247	247	True	False	False	False
123123	False	55	55	55	True	False	False	False
12_experimental_shawl	True	19	35	20	True	False	False	False
13-st_Leaf_Panel	True	49	105	49	True	False	False	False
132__Fortsetzung	True	23	23	23	True	False	False	False
13a	True	122	140	108	True	False	False	False
13_stich_lace	True	45	53	39	True	True	False	False
14-Round_Lace_egde,_circ	False	55	55	55	True	False	False	False
14-Round_Lace_egde	True	55	64	55	True	False	False	False
14-st_ogee_lace	True	247	390	193	True	False	False	False
14_Row_Leaf_edging	True	88	185	86	True	False	False	False
15-st_lace_border	True	115	216	109	True	False	False	False
16_5&quot;_Centrepiece	True	773	3967	770	True	False	False	False
16_Row_Cable_Twist_for_Copy_Cat_Vest	True	20	66	20	True	False	False	False
16_section_lehe	True	109	625	106	True	False	False	False
16_section_lehemaikell	True	330	1814	325	True	False	False	False
16_section_maikellkiri	True	267	1283	241	True	False	False	False
17_Lace	True	59	59	59	True	False	False	False
1879-03-15_MF_Nina_Hunt_Pattern	True	99	257	100	True	False	False	False
1879-04-05_Cherryfield_Edging	True	75	126	69	True	False	False	False
1879-04-26_MF_Alice_and_Agnes_insertion_pattern	True	51	65	37	True	False	False	False
1879-07-12_Nella_Franklin&#x27;s_Broad_Edging	True	198	862	196	True	False	False	False
1879-08-23_Esther_H&#x27;s_Knit_Edging	True	25	56	23	True	False	False	False
1879-08-23_Yarmouth_Edging	True	10	20	9	True	False	False	False
1879-11-08__Jane_Fisher&#x27;s_Edging	True	55	108	55	True	False	False	False
1879-11-29_Maggie&#x27;s_Knit_Edging	True	75	155	73	True	False	False	False
1879-5-3_Helens_Edging	True	126	331	110	True	False	False	False
1880-01-24_Jennies_Ruffling	True	30	91	30	True	False	False	False
